spider,category,subcategory,subsubcategory
Amazon,Food,Breakfast Foods,"Pancake, Waffle & Baking Mixes"
Amazon,Food,Breakfast Foods,Toaster Pastries
Amazon,Food,Breakfast Foods,Frozen Breakfast Foods
Amazon,Food,Breakfast Foods,Breakfast Syrups & Toppings
Amazon,Food,Breakfast Foods,Applesauce & Fruit Cups
Amazon,Food,Breakfast Foods,Instant Breakfast Drinks
Amazon,Food,Breakfast Foods,Oatmeal
Amazon,Food,Breakfast Foods,Granola
Amazon,Food,Snack Foods,Coupons on snack foods
Amazon,Food,Snack Foods,Flavors of the season
Amazon,Food,Snack Foods,Snacking made easy
Amazon,Food,Snack Foods,Snacking made sweeter
Amazon,Food,Snack Foods,Sabra hummus and dips
Amazon,Food,Snack Foods,Airheads and Mentos candy
Amazon,Food,Snack Foods,Chips
Amazon,Food,Snack Foods,Crackers
Amazon,Food,Snack Foods,Cookies
Amazon,Food,Snack Foods,Fruit Snacks
Amazon,Food,Snack Foods,Bars
Amazon,Food,Snack Foods,Popcorn
Amazon,Food,Snack Foods,Pretzels
Amazon,Food,Snack Foods,"Salsas, Dips & Spreads"
Amazon,Food,Snack Foods,Snack & Trail Mixes
Amazon,Food,Snack Foods,Nuts & Seeds
Amazon,Food,Snack Foods,Candy & Chocolate
Amazon,Food,Snack Foods,Applesauce & Fruit Cups
Amazon,Food,Snack Foods,Meat Snacks
Amazon,Food,Snack Foods,Dried Fruits & Raisins
Amazon,Food,Snack Foods,Snack Cakes & Pastries
Amazon,Food,Snack Foods,Party Mix
Amazon,Food,Snack Foods,Snack Puddings & Gelatins
Amazon,Food,Snack Foods,Seaweed Snacks
Amazon,Food,Snack Foods,Vegetable Snacks
Amazon,Food,Snack Foods,Protein bars
Amazon,Food,Meal Solutions,Butternut squash soup
Amazon,Food,Meal Solutions,Featured items
Amazon,Food,Meal Solutions,Produce
Amazon,Food,Meal Solutions,Meat and seafood
Amazon,Food,Meal Solutions,"Pasta, grains, and rice"
Amazon,Food,Meal Solutions,"Dairy, cheese, and eggs"
Amazon,Food,Meal Solutions,Easy desserts
Amazon,Food,Meal Solutions,Cozy up with organic milk and cookies
Amazon,Food,Meal Solutions,"Beer, wine, and seltzer"
Amazon,Food,Meal Solutions,Food storage
Amazon,Food,Meal Solutions,Featured kitchen supplies
Amazon,Food,Meal Solutions,Plates and cutlery
Amazon,Beverages,Coffee & Tea,Try a new tea
Amazon,Beverages,Coffee & Tea,Coffee
Amazon,Beverages,Coffee & Tea,Tea
Amazon,Beverages,Coffee & Tea,Coffee Creamer
Amazon,Beverages,Coffee & Tea,Non-Dairy Coffee Creamer
Amazon,Beverages,Coffee & Tea,Coffee & Espresso Machine Accessories
Amazon,Beverages,Water,Perfect for special occasions
Amazon,Beverages,Water,Mineral Water
Amazon,Beverages,Water,Sparkling Water
Amazon,Beverages,Water,Flavored Water
Amazon,Beverages,Water,Sports Drinking Water
Amazon,Beverages,Water,Tonic Water
Amazon,Beverages,Juice,"Never sweetened, concentrated, or frozen"
Amazon,Beverages,Juice,Fruit Juice Beverages
Amazon,Beverages,Juice,Lemonade
Amazon,Beverages,Juice,Juice Smoothie Drinks
Amazon,Beverages,Juice,Sparkling Juice Drinks
Amazon,Beverages,Juice,Vegetable Juice Beverages
Amazon,Beverages,Juice,Ciders
Amazon,Beverages,Drink Mixes,Cocoa
Amazon,Beverages,Drink Mixes,Instant Breakfast Drinks
Amazon,Beverages,Drink Mixes,Powdered Soft Drink Mixes
Amazon,Beverages,Drink Mixes,Powdered Chocolate Drink Mixes
Amazon,Beverages,Drink Mixes,Water Flavoring Drops
Amazon,Beverages,Drink Mixes,Beverage Flavor Syrups
Amazon,Beverages,Milk & Cream,Warm up with a sweet drink
Amazon,Beverages,Milk & Cream,Milk and cream from happy cows
Amazon,Beverages,Milk & Cream,"Coffee, creamers, and add-ins"
Amazon,Beverages,Milk & Cream,Dairy Milk
Amazon,Beverages,Milk & Cream,Flavored Milk
Amazon,Beverages,Milk & Cream,Half & Half
Amazon,Beverages,Milk & Cream,Whipping Cream
Amazon,Beverages,Milk & Cream,Coffee Creamer
Amazon,Beverages,Milk & Cream,Heavy Cream
Amazon,Beverages,Milk & Cream,Eggnog
Amazon,Beverages,Milk & Cream,Cereals
Amazon,Beverages,Non-Dairy Milks,Silk and So Delicious are always plant-based
Amazon,Beverages,Non-Dairy Milks,Almond Milk
Amazon,Beverages,Non-Dairy Milks,Oat Milk
Amazon,Beverages,Non-Dairy Milks,Non-Dairy Coffee Creamer
Amazon,Beverages,Non-Dairy Milks,Non-Dairy Yogurts
Amazon,Beverages,Non-Dairy Milks,Soy Milk
Amazon,Beverages,Non-Dairy Milks,Coconut Milk
Amazon,Beverages,Non-Dairy Milks,Cashew Milk
Amazon,Beverages,Non-Dairy Milks,Flax Milk
Amazon,Beverages,Non-Dairy Milks,Rice Milk
Amazon,Household,Cleaning Supplies,Paper Towels
Amazon,Household,Cleaning Supplies,All-Purpose Cleaners
Amazon,Household,Cleaning Supplies,Disinfectant Wipes
Amazon,Household,Cleaning Supplies,Glass Cleaners
Amazon,Household,Cleaning Supplies,Bathroom Cleaners
Amazon,Household,Cleaning Supplies,Kitchen Cleaners
Amazon,Household,Cleaning Supplies,Drain Openers
Amazon,Household,Cleaning Supplies,Cleaning Tools
Amazon,Household,Cleaning Supplies,Floor Cleaners
Amazon,Household,Cleaning Supplies,Carpet Cleaners & Deodorizers
Amazon,Household,Cleaning Supplies,Wood & Metal Polishes
Amazon,Household,Paper & Plastic,Coupons on paper and plastic products
Amazon,Household,Paper & Plastic,Paper Towels
Amazon,Household,Paper & Plastic,Toilet Paper
Amazon,Household,Paper & Plastic,Trash Bags
Amazon,Household,Paper & Plastic,Napkins
Amazon,Household,Paper & Plastic,Tissues
Amazon,Household,Paper & Plastic,Food Storage Bags & Containers
Amazon,Household,Paper & Plastic,"Disposable Plates, Bowls & Cutlery"
Amazon,Household,Paper & Plastic,Disposable Drinkware
Amazon,Household,Paper & Plastic,Personal Cleansing Wipes
Amazon,Household,Paper & Plastic,Coffee Filters
Amazon,Household,Dishwashing,Dishwasher Detergents
Amazon,Household,Dishwashing,Dish Soaps
Amazon,Household,Dishwashing,Rinse Aids
Amazon,Household,Dishwashing,Sponges
Amazon,Household,Dishwashing,Kitchen Cleaners
Amazon,Household,Laundry,Liquid Detergent
Amazon,Household,Laundry,Pods & Tablets
Amazon,Household,Laundry,Fabric Softeners
Amazon,Household,Laundry,Dryer Sheets & Deodorizers
Amazon,Household,Laundry,Stain Removers
Amazon,Household,Laundry,Bleach
Amazon,Household,Laundry,Lint Removers
Amazon,Household,Laundry,Starch & Anti-static Sprays
Amazon,"Personal Care, Health & Beauty",Personal Care,Coupons on personal care
Amazon,"Personal Care, Health & Beauty",Personal Care,Nurturing care for hardworking hands
Amazon,"Personal Care, Health & Beauty",Personal Care,Shampoo
Amazon,"Personal Care, Health & Beauty",Personal Care,Conditioner
Amazon,"Personal Care, Health & Beauty",Personal Care,Body Wash
Amazon,"Personal Care, Health & Beauty",Personal Care,Body & Bath
Amazon,"Personal Care, Health & Beauty",Personal Care,Toothpaste
Amazon,"Personal Care, Health & Beauty",Personal Care,Mouthwashes
Amazon,"Personal Care, Health & Beauty",Personal Care,Deodorants & Antiperspirants
Amazon,"Personal Care, Health & Beauty",Personal Care,Shave & Hair Removal
Amazon,"Personal Care, Health & Beauty",Personal Care,Feminine Care
Amazon,"Personal Care, Health & Beauty",Personal Care,Lip Care
Amazon,"Personal Care, Health & Beauty",Personal Care,Eye Treatments
Amazon,"Personal Care, Health & Beauty",Personal Care,Hand Soap
