spider,category,subcategory,subsubcategory
Amazon,"Personal Care, Health & Beauty",Hair Care,Shampoo
Amazon,"Personal Care, Health & Beauty",Hair Care,Conditioner
Amazon,"Personal Care, Health & Beauty",Hair Care,2-in-1 Shampoo & Conditioner
Amazon,"Personal Care, Health & Beauty",Hair Care,Dry Shampoo
Amazon,"Personal Care, Health & Beauty",Hair Care,Hair Color
Amazon,"Personal Care, Health & Beauty",Hair Care,Styling Products
Amazon,"Personal Care, Health & Beauty",Hair Care,Hair Spray
Amazon,"Personal Care, Health & Beauty",Hair Care,Hair Accessories
Amazon,"Personal Care, Health & Beauty",Hair Care,Styling Tools & Appliances
Amazon,"Personal Care, Health & Beauty",Hair Care,Hair Loss Treatments
Amazon,"Personal Care, Health & Beauty",Hair Care,Hair & Scalp Treatments
Amazon,"Personal Care, Health & Beauty",Hair Care,Hair Cutting Tools
Amazon,"Personal Care, Health & Beauty",Hair Care,Vitamins and supplements for your hair
Amazon,"Personal Care, Health & Beauty",Skin Care,Coupons on skin care
Amazon,"Personal Care, Health & Beauty",Skin Care,Facial Cleansers
Amazon,"Personal Care, Health & Beauty",Skin Care,Face Moisturizers
Amazon,"Personal Care, Health & Beauty",Skin Care,Night Creams
Amazon,"Personal Care, Health & Beauty",Skin Care,Acne Treatment
Amazon,"Personal Care, Health & Beauty",Skin Care,Body & Bath
Amazon,"Personal Care, Health & Beauty",Skin Care,Masks
Amazon,"Personal Care, Health & Beauty",Skin Care,Body & Bath
Amazon,"Personal Care, Health & Beauty",Skin Care,Eye Treatments
Amazon,"Personal Care, Health & Beauty",Skin Care,Facial Skin Care Products
Amazon,"Personal Care, Health & Beauty",Skin Care,Lip Care
Amazon,"Personal Care, Health & Beauty",Skin Care,Sets & Kits
Amazon,"Personal Care, Health & Beauty",Skin Care,Sunscreen & Tanning
Amazon,"Personal Care, Health & Beauty",Beauty,Best of fall beauty
Amazon,"Personal Care, Health & Beauty",Beauty,At-home beauty
Amazon,"Personal Care, Health & Beauty",Beauty,Foundation & Concealers
Amazon,"Personal Care, Health & Beauty",Beauty,"Blush, Bronzers & Highlighters"
Amazon,"Personal Care, Health & Beauty",Beauty,Lip Color
Amazon,"Personal Care, Health & Beauty",Beauty,Powder
Amazon,"Personal Care, Health & Beauty",Beauty,Makeup Remover
Amazon,"Personal Care, Health & Beauty",Beauty,Nail Polish & Accessories
Amazon,"Personal Care, Health & Beauty",Beauty,Makeup Brushes & Tools
Amazon,"Personal Care, Health & Beauty",Beauty,Fragrance
Amazon,"Personal Care, Health & Beauty",Beauty,Eyes
Amazon,"Personal Care, Health & Beauty",Beauty,Give the gift of beauty products
Amazon,"Personal Care, Health & Beauty",Beauty,Beauty supplements
Amazon,"Personal Care, Health & Beauty",Health & Wellness,Coupons on health care
Amazon,"Personal Care, Health & Beauty",Health & Wellness,Promote heart health
Amazon,"Personal Care, Health & Beauty",Health & Wellness,Sexual wellness
